"","X","title","year","length","imdb.score","votes","mpaa","Genre","BudgetRange"
"1",112,"10 Things I Hate About You",1999,97,6.7,19095,"PG-13","RomanticComedy","Modest"
"2",173,"13 Going On 30",2004,98,6.4,7859,"PG-13","RomanticDrama","BigBudget"
"3",192,"1492: Conquest of Paradise",1992,154,6,3379,"UR","Drama","BigBudget"
"4",197,"15 Minutes",2001,120,6.1,10866,"R","Drama","BigBudget"
"5",276,"200 Cigarettes",1999,101,5.4,4514,"R","Drama","Modest"
"6",291,"2046",2004,129,7.6,2663,"R","RomanticDrama","Modest"
"7",297,"21 Grams",2003,124,8,21857,"R","Drama","Modest"
"8",326,"25th Hour",2002,135,7.8,15788,"R","Drama","Modest"
"9",333,"28 Days",2000,103,6,7465,"PG-13","Drama","BigBudget"
"10",432,"40 Days and 40 Nights",2002,96,5.4,8609,"R","RomanticDrama","Modest"
"11",472,"50 First Dates",2004,99,6.8,13497,"PG-13","RomanticComedy","BigBudget"
"12",483,"54",1998,100,5.4,6905,"R","Drama","Modest"
"13",534,"8 Mile",2002,110,6.8,17900,"R","Drama","BigBudget"
"14",688,"Abandon",2002,99,4.7,2364,"PG-13","Drama","Modest"
"15",762,"About Schmidt",2002,125,7.3,23279,"R","Drama","Modest"
"16",763,"About a Boy",2002,101,7.5,18318,"PG-13","Drama","Modest"
"17",802,"Absolute Power",1997,121,6.4,7995,"R","Drama","BigBudget"
"18",966,"Adaptation.",2002,114,7.9,25140,"R","Drama","Modest"
"19",1079,"Adventures of Huck Finn, The",1993,108,5.9,1134,"UR","Drama","Modest"
"20",1166,"Affliction",1997,114,6.9,3679,"R","Drama","Modest"
"21",1274,"Age of Innocence, The",1993,139,7.1,6049,"UR","RomanticDrama","BigBudget"
"22",1385,"Air Bud",1997,98,4.7,1276,"PG","Drama","Modest"
"23",1530,"Albino Alligator",1996,97,6,2077,"R","Drama","Modest"
"24",1559,"Alexander",2004,175,5.5,11254,"R","Drama","BigBudget"
"25",1575,"Alferd Packer: The Musical",1996,97,7,2298,"R","RomanticComedy","Tiny"
"26",1577,"Alfie",2004,103,6,3492,"R","Drama","BigBudget"
"27",1586,"Ali",2001,165,6.4,9294,"R","Drama","BigBudget"
"28",1623,"Alice",1990,102,6.4,1706,"UR","RomanticDrama","Modest"
"29",1785,"All the Pretty Horses",2000,116,5.6,3133,"PG-13","Drama","BigBudget"
"30",1789,"All the Real Girls",2003,108,6.8,1745,"R","RomanticDrama","Modest"
"31",1884,"Almost Famous",2000,162,8,38648,"R","Drama","BigBudget"
"32",1911,"Along Came Polly",2004,90,5.8,9785,"PG-13","RomanticComedy","BigBudget"
"33",1912,"Along Came a Spider",2001,104,6.1,9456,"R","Drama","Modest"
"34",2098,"America's Sweethearts",2001,102,5.8,11849,"PG-13","RomanticComedy","BigBudget"
"35",2106,"American Beauty",1999,121,8.5,109991,"R","Drama","Modest"
"36",2149,"American History X",1998,119,8.4,59677,"R","Drama","Modest"
"37",2181,"American President, The",1995,114,6.9,11834,"PG-13","RomanticDrama","BigBudget"
"38",2182,"American Psycho",2000,102,6.8,21639,"R","Drama","Modest"
"39",2210,"American Werewolf in Paris, An",1997,105,5,4302,"R","RomanticComedy","Modest"
"40",2252,"Amistad",1997,152,7,10543,"R","Drama","BigBudget"
"41",2321,"Amores perros",2000,153,8.2,15079,"R","Drama","Modest"
"42",2518,"Angel Eyes",2001,102,5.6,4829,"R","RomanticDrama","BigBudget"
"43",2557,"Angela's Ashes",1999,145,6.8,4347,"UR","Drama","Modest"
"44",2702,"Anna and the King",1999,148,6.6,6739,"PG-13","RomanticDrama","BigBudget"
"45",2817,"Antitrust",2001,108,6,7326,"PG-13","Drama","Modest"
"46",2836,"Antwone Fisher",2002,117,7.4,4472,"PG-13","Drama","Modest"
"47",2845,"Any Given Sunday",1999,156,6.4,19531,"R","Drama","BigBudget"
"48",2861,"Anything Else",2003,108,6.5,3678,"R","RomanticComedy","Modest"
"49",2867,"Anywhere But Here",1999,114,5.9,4007,"PG-13","Drama","Modest"
"50",2927,"Apollo 13",1995,140,7.5,41098,"PG","Drama","BigBudget"
"51",2931,"Apostle, The",1997,134,7.2,4231,"PG-13","Drama","Modest"
"52",2988,"Apt Pupil",1998,112,6.4,6728,"R","Drama","Modest"
"53",3124,"Arlington Road",1999,117,7.1,17189,"R","Drama","Modest"
"54",3162,"Around the World in 80 Days",2004,120,5.7,3887,"PG","RomanticComedy","BigBudget"
"55",3231,"Artificial Intelligence: AI",2001,146,6.8,36623,"PG-13","Drama","BigBudget"
"56",3257,"As Good as It Gets",1997,139,7.7,47441,"PG-13","RomanticDrama","BigBudget"
"57",3417,"At First Sight",1999,128,5.7,3441,"PG-13","Drama","BigBudget"
"58",3625,"Auto Focus",2002,105,6.7,3276,"R","Drama","Modest"
"59",3666,"Autumn in New York",2000,103,4.7,3731,"PG-13","RomanticDrama","BigBudget"
"60",3677,"Avalon",2001,106,6.8,2723,"R","Drama","Modest"
"61",3727,"Aviator, The",2004,170,7.5,16217,"PG-13","Drama","BigBudget"
"62",3832,"Babe",1995,89,7.4,16988,"UR","Drama","Modest"
"63",3864,"Baby Boy",2001,130,6.2,1476,"R","RomanticDrama","Modest"
"64",3927,"Bacheha-Ye aseman",1997,89,7.6,1499,"UR","Drama","Tiny"
"65",3940,"Bachelor, The",1999,101,5,4183,"PG-13","RomanticComedy","Modest"
"66",4025,"Bad Boy Bubby",1993,112,7,1033,"UR","Drama","Tiny"
"67",4253,"Bamboozled",2000,135,6.3,2356,"R","Drama","Modest"
"68",4299,"Bandits",2001,123,6.7,12382,"PG-13","RomanticDrama","BigBudget"
"69",4316,"Banger Sisters, The",2002,98,5.6,3189,"R","Drama","Modest"
"70",4396,"Barbershop",2002,102,6.6,4943,"PG-13","Drama","Modest"
"71",4405,"Barcelona",1994,101,6.6,1570,"UR","RomanticDrama","Modest"
"72",4486,"Barton Fink",1991,116,7.5,10223,"UR","Drama","Modest"
"73",4503,"Basic",2003,98,6.2,8370,"R","Drama","BigBudget"
"74",4559,"Batman Forever",1995,122,5.4,24025,"PG-13","RomanticDrama","BigBudget"
"75",4560,"Batman Returns",1992,126,6.5,23010,"UR","RomanticDrama","BigBudget"
"76",4677,"Beach, The",2000,119,5.8,15020,"R","Drama","BigBudget"
"77",4780,"Beautiful Mind, A",2001,135,7.8,43291,"PG-13","Drama","BigBudget"
"78",4884,"Before Sunrise",1995,105,7.8,9618,"UR","RomanticDrama","Modest"
"79",4885,"Before Sunset",2004,80,8.3,8789,"R","RomanticDrama","Modest"
"80",4953,"Being John Malkovich",1999,113,7.9,55079,"UR","Drama","Modest"
"81",4954,"Being Julia",2004,104,7.2,1671,"R","Drama","Modest"
"82",5052,"Belly",1998,96,4.5,1034,"R","Drama","Modest"
"83",5061,"Beloved",1998,172,5.6,1934,"R","Drama","BigBudget"
"84",5212,"Best Laid Plans",1999,92,6.3,1795,"R","Drama","Modest"
"85",5270,"Better Luck Tomorrow",2002,98,7.3,2697,"R","Drama","Tiny"
"86",5358,"Beyond Borders",2003,127,5.4,1905,"R","RomanticDrama","BigBudget"
"87",5371,"Beyond Rangoon",1995,100,6.4,1285,"R","Drama","Modest"
"88",5404,"Beyond the Sea",2004,118,6.7,1051,"PG-13","Drama","Modest"
"89",5447,"Bicentennial Man",1999,132,6.2,8925,"PG","RomanticDrama","BigBudget"
"90",5535,"Big Fish",2003,125,8.1,31525,"PG-13","Drama","BigBudget"
"91",5717,"Billy Elliot",2000,110,7.7,16725,"R","Drama","Modest"
"92",5810,"Birth",2004,100,6,2600,"R","RomanticDrama","Modest"
"93",5818,"Birthday Girl",2001,93,6.1,5340,"R","RomanticDrama","Modest"
"94",6045,"Black and White",1999,98,5.2,1699,"R","Drama","Modest"
"95",6120,"Blast from the Past",1999,112,6.4,9483,"PG-13","RomanticDrama","BigBudget"
"96",6350,"Blood Work",2002,110,6.3,5965,"R","Drama","BigBudget"
"97",6357,"Blood and Wine",1996,101,6,2134,"R","Drama","Modest"
"98",6431,"Bloody Sunday",2002,107,7.6,2388,"R","Drama","Modest"
"99",6444,"Blow",2001,124,7.1,18670,"R","Drama","Modest"
"100",6484,"Blue Crush",2002,104,5.7,4791,"PG-13","RomanticDrama","Modest"
"101",6664,"Body of Evidence",1993,102,4.1,2625,"UR","RomanticDrama","Modest"
"102",6685,"Bogus",1996,110,5,1007,"PG","Drama","BigBudget"
"103",6694,"Boiler Room",2000,118,6.8,8586,"R","Drama","Modest"
"104",6768,"Bon voyage",2003,115,7.2,1061,"PG-13","Drama","Modest"
"105",6779,"Bone Collector, The",1999,118,6.2,17766,"R","Drama","BigBudget"
"106",6790,"Bonfire of the Vanities, The",1990,125,5,4151,"UR","Drama","BigBudget"
"107",6837,"Boogie Nights",1997,156,7.6,27380,"R","Drama","Modest"
"108",6867,"Boomerang",1992,118,5.1,3530,"UR","RomanticComedy","BigBudget"
"109",7024,"Bottle Rocket",1996,92,7.4,7286,"UR","RomanticComedy","Modest"
"110",7057,"Bounce",2000,106,5.8,5390,"PG-13","RomanticDrama","BigBudget"
"111",7061,"Bound",1996,109,7.5,11911,"R","RomanticDrama","Modest"
"112",7104,"Bowling for Columbine",2002,120,8.5,36747,"R","Drama","Modest"
"113",7174,"Boys Don't Cry",1999,118,7.6,14456,"R","Drama","Modest"
"114",7188,"Boys and Girls",2000,94,4.9,3483,"PG-13","RomanticDrama","Modest"
"115",7204,"Boys on the Side",1995,115,6.1,2775,"UR","Drama","Modest"
"116",7211,"Boyz n the Hood",1991,107,7.7,10319,"UR","Drama","Modest"
"117",7229,"Braindead",1992,97,7.5,11552,"UR","RomanticComedy","Modest"
"118",7392,"Bride & Prejudice",2004,122,6.3,1503,"PG-13","RomanticComedy","Modest"
"119",7433,"Bridges of Madison County, The",1995,135,6.9,7633,"PG-13","RomanticDrama","Modest"
"120",7436,"Bridget Jones's Diary",2001,97,7,24791,"R","RomanticComedy","Modest"
"121",7437,"Bridget Jones: The Edge of Reason",2004,108,5.7,6636,"R","RomanticDrama","BigBudget"
"122",7491,"Bringing Out the Dead",1999,121,6.7,13989,"R","Drama","BigBudget"
"123",7553,"Broken Hearts Club: A Romantic Comedy, The",2000,94,6.8,1712,"UR","Drama","Modest"
"124",7580,"Bronx Tale, A",1993,121,7.5,9175,"UR","Drama","Modest"
"125",7620,"Brothers McMullen, The",1995,98,6.4,2325,"R","Drama","Tiny"
"126",7630,"Brown Bunny, The",2003,119,5.1,1045,"UR","Drama","Modest"
"127",7639,"Bruce Almighty",2003,101,6.4,23905,"PG-13","RomanticComedy","BigBudget"
"128",7694,"Bubble Boy",2001,84,5.1,2904,"PG-13","RomanticDrama","Modest"
"129",7760,"Buffalo '66",1998,110,7.2,6652,"R","Drama","Modest"
"130",7770,"Buffalo Soldiers",2001,98,7,3753,"R","Drama","Modest"
"131",7796,"Bugsy",1991,134,6.6,4159,"UR","Drama","BigBudget"
"132",7843,"Bullets Over Broadway",1994,98,7.4,6685,"UR","RomanticComedy","Modest"
"133",7861,"Bulworth",1998,108,6.9,8277,"UR","RomanticDrama","Modest"
"134",8007,"But I'm a Cheerleader",1999,85,6.2,3897,"R","RomanticDrama","Modest"
"135",8027,"Butterfly Effect, The",2004,120,7.6,22975,"R","Drama","Modest"
"136",8106,"CQ",2001,91,6.4,1315,"R","Drama","Modest"
"137",8133,"Cable Guy, The",1996,96,5.5,16266,"PG-13","Drama","BigBudget"
"138",8419,"Can't Hardly Wait",1998,101,6.2,8191,"PG-13","RomanticComedy","Modest"
"139",8463,"Candyman",1992,99,6.3,4735,"UR","Drama","Modest"
"140",8520,"Cape Fear",1991,128,7.1,15585,"R","Drama","BigBudget"
"141",8563,"Captain Corelli's Mandolin",2001,131,5.9,5281,"R","RomanticDrama","BigBudget"
"142",8649,"Carandiru",2003,147,7.7,1608,"R","Drama","Modest"
"143",8933,"Casino",1995,176,7.8,27234,"R","Drama","BigBudget"
"144",8956,"Cast Away",2000,143,7.3,34580,"PG-13","Drama","BigBudget"
"145",9033,"Catch Me If You Can",2002,141,7.6,39915,"PG-13","Drama","BigBudget"
"146",9209,"Central do Brasil",1998,108,7.9,8980,"UR","Drama","Modest"
"147",9260,"Chacun cherche son chat",1996,91,7,1105,"UR","RomanticComedy","Tiny"
"148",9313,"Chamber, The",1996,113,5.7,2540,"R","Drama","BigBudget"
"149",9375,"Changing Lanes",2002,99,6.6,12779,"R","Drama","BigBudget"
"150",9512,"Chasing Amy",1997,111,7.6,32141,"R","RomanticDrama","Tiny"
"151",9520,"Chasing Liberty",2004,111,5.7,1911,"PG-13","RomanticComedy","Modest"
"152",9565,"Cheaper by the Dozen",2003,98,5.8,5977,"PG","Drama","BigBudget"
"153",9694,"Chicago",2002,113,7.5,34933,"PG-13","Drama","BigBudget"
"154",10031,"Chuck&Buck",2000,96,6.6,1919,"R","Drama","Tiny"
"155",10091,"Cidade de Deus",2002,135,8.7,25964,"R","Drama","Modest"
"156",10092,"Cider House Rules, The",1999,126,7.5,18950,"PG-13","RomanticDrama","Modest"
"157",10131,"Cinderella Story, A",2004,95,4.9,2755,"PG","RomanticComedy","Modest"
"158",10212,"Citizen Ruth",1996,102,6.8,1441,"UR","Drama","Modest"
"159",10224,"City Hall",1996,111,6.1,4381,"R","Drama","BigBudget"
"160",10241,"City by the Sea",2002,108,6.3,4886,"R","Drama","BigBudget"
"161",10244,"City of Angels",1998,114,6.2,15333,"PG-13","RomanticDrama","BigBudget"
"162",10269,"Civil Action, A",1998,112,6.4,6847,"PG-13","Drama","BigBudget"
"163",10346,"Clay Pigeons",1998,104,6.4,2658,"R","Drama","Modest"
"164",10374,"Clerks.",1994,92,7.9,39927,"R","Drama","Tiny"
"165",10408,"Clockers",1995,129,6.8,3099,"R","Drama","Modest"
"166",10477,"Clueless",1995,97,6.7,16521,"PG-13","RomanticComedy","Modest"
"167",10539,"Code 46",2003,92,6.4,2094,"R","RomanticDrama","Modest"
"168",10602,"Cold Mountain",2003,152,7.4,15712,"R","RomanticDrama","BigBudget"
"169",10625,"Collateral",2004,120,7.7,24499,"R","Drama","BigBudget"
"170",10668,"Color of Night",1994,133,4.7,4646,"UR","RomanticDrama","BigBudget"
"171",10876,"Company, The",2003,112,6.2,1505,"PG-13","Drama","Modest"
"172",10966,"Confessions of a Dangerous Mind",2002,113,7.1,11487,"R","Drama","Modest"
"173",10984,"Confidence",2003,97,6.8,6168,"R","Drama","Modest"
"174",11047,"Conspiracy Theory",1997,135,6.4,15470,"R","RomanticDrama","BigBudget"
"175",11063,"Contact",1997,153,7.3,36390,"PG","Drama","BigBudget"
"176",11073,"Contender, The",2000,126,6.9,7023,"R","Drama","Modest"
"177",11146,"Cool as Ice",1991,100,2.4,1280,"UR","RomanticDrama","Modest"
"178",11158,"Cop Land",1997,116,6.7,12677,"R","Drama","Modest"
"179",11187,"Copycat",1995,123,6.5,7804,"R","Drama","Modest"
"180",11459,"Coyote Ugly",2000,100,5.4,13221,"R","RomanticDrama","BigBudget"
"181",11491,"Cradle Will Rock",1999,132,6.7,3375,"R","Drama","BigBudget"
"182",11492,"Craft, The",1996,101,5.9,9187,"R","Drama","Modest"
"183",11499,"Crash",2004,113,8.3,1660,"R","Drama","Modest"
"184",11550,"Crazy in Alabama",1999,111,6.1,2086,"PG-13","Drama","Modest"
"185",11553,"Crazy/Beautiful",2001,135,6.5,4503,"PG-13","RomanticDrama","Modest"
"186",11639,"Crimen del padre Amaro, El",2002,118,7,2469,"R","RomanticDrama","Modest"
"187",11705,"Crocodile Dundee in Los Angeles",2001,92,4.7,2698,"PG","Drama","Modest"
"188",11723,"Crooklyn",1994,115,6.2,1112,"UR","Drama","Modest"
"189",11765,"Crossroads",2002,93,3.1,8546,"PG-13","RomanticDrama","Modest"
"190",11787,"Cruel Intentions",1999,97,6.5,25634,"R","RomanticDrama","Modest"
"191",11843,"Cry-Baby",1990,85,6,4136,"UR","RomanticComedy","Modest"
"192",11951,"Curly Sue",1991,101,4.7,2097,"UR","Drama","Modest"
"193",11972,"Curse of the Jade Scorpion, The",2001,103,6.8,5846,"PG-13","Drama","Modest"
"194",12006,"Cutthroat Island",1995,119,5.1,3942,"PG-13","RomanticDrama","BigBudget"
"195",12067,"D-Tox",2002,92,4.7,2742,"R","Drama","BigBudget"
"196",12296,"Dances with Wolves",1990,236,7.8,28561,"UR","Drama","Modest"
"197",12369,"Dangerous Lives of Altar Boys, The",2002,105,7.2,3274,"R","Drama","Modest"
"198",12722,"Days of Thunder",1990,107,5.4,9660,"UR","RomanticDrama","BigBudget"
"199",12795,"Dead Man Walking",1995,122,7.6,16177,"R","Drama","Modest"
"200",12797,"Dead Man's Curve",1998,90,5.7,1241,"R","Drama","Modest"
"201",13135,"Deep End of the Ocean, The",1999,106,5.9,2890,"PG-13","Drama","BigBudget"
"202",13136,"Deep End, The",2001,101,6.8,3524,"R","Drama","Modest"
"203",13138,"Deep Impact",1998,120,5.9,22684,"PG-13","Drama","BigBudget"
"204",13230,"Dellamorte Dellamore",1994,105,7.3,2313,"R","RomanticComedy","Modest"
"205",13645,"Devil's Advocate, The",1997,144,7,26904,"R","Drama","BigBudget"
"206",14006,"Dirty Pretty Things",2002,97,7.6,6274,"R","Drama","Modest"
"207",14116,"Divine Secrets of the Ya-Ya Sisterhood",2002,116,5.5,4288,"PG-13","Drama","Modest"
"208",14408,"Domestic Disturbance",2001,91,5.4,4445,"PG-13","Drama","BigBudget"
"209",14442,"Don Juan DeMarco",1995,97,6.5,6857,"UR","RomanticDrama","Modest"
"210",14501,"Don't Say a Word",2001,113,6.2,10098,"R","Drama","BigBudget"
"211",14578,"Donnie Brasco",1997,127,7.6,20029,"R","Drama","BigBudget"
"212",14579,"Donnie Darko",2001,133,8.3,51961,"R","Drama","Modest"
"213",14609,"Doors, The",1991,140,6.7,10363,"UR","Drama","BigBudget"
"214",14699,"Double Jeopardy",1999,105,5.9,13587,"R","Drama","BigBudget"
"215",14785,"Down to Earth",2001,87,5.1,3720,"PG-13","RomanticComedy","Modest"
"216",14788,"Down to You",2000,91,4.7,3232,"PG-13","RomanticDrama","Modest"
"217",14809,"Dr T and the Women",2000,122,4.8,4776,"R","RomanticDrama","Modest"
"218",14866,"Dracula",1992,128,7.1,19972,"R","RomanticDrama","BigBudget"
"219",14912,"Dragonfly",2002,104,5.8,5431,"PG-13","Drama","BigBudget"
"220",15035,"Drive Me Crazy",1999,91,5.1,2934,"PG-13","RomanticDrama","Modest"
"221",15094,"Drumline",2002,118,5.3,7368,"PG-13","RomanticDrama","Modest"
"222",15216,"Duets",2000,112,5.8,2414,"R","Drama","Modest"
"223",15520,"Ed Wood",1994,127,8,22612,"R","Drama","Modest"
"224",15573,"Edward Scissorhands",1990,105,7.7,27017,"UR","RomanticDrama","Modest"
"225",15711,"Elephant",2003,81,7.3,9203,"R","Drama","Modest"
"226",15744,"Elizabeth",1998,124,7.6,14733,"R","Drama","Modest"
"227",15747,"Ella Enchanted",2004,96,6.5,2502,"PG","RomanticComedy","BigBudget"
"228",15846,"Emma",1996,121,6.9,6431,"PG","RomanticComedy","Modest"
"229",15882,"Emperor's Club, The",2002,109,6.7,3056,"PG-13","Drama","Modest"
"230",15989,"End of Violence, The",1997,122,5.4,1575,"R","Drama","Modest"
"231",15991,"End of the Affair, The",1999,102,7,4808,"R","RomanticDrama","Modest"
"232",16034,"Enemy at the Gates",2001,131,7.3,19169,"R","RomanticDrama","BigBudget"
"233",16081,"English Patient, The",1996,160,7.1,25210,"R","RomanticDrama","Modest"
"234",16101,"Enough",2002,115,4.9,4339,"PG-13","Drama","BigBudget"
"235",16135,"Entrapment",1999,113,6.1,18543,"PG-13","RomanticComedy","BigBudget"
"236",16216,"Erin Brockovich",2000,130,7.3,24301,"R","Drama","BigBudget"
"237",16373,"Espinazo del diablo, El",2001,108,7.4,3474,"R","Drama","Modest"
"238",16424,"Eternal Sunshine of the Spotless Mind",2004,108,8.6,46240,"R","RomanticDrama","Modest"
"239",16483,"Eve's Bayou",1997,109,7.2,2302,"R","Drama","Modest"
"240",16485,"Evelyn",2002,94,7.1,1163,"PG","Drama","Modest"
"241",16488,"Even Cowgirls Get the Blues",1993,99,4,1609,"UR","RomanticDrama","Modest"
"242",16500,"Ever After",1998,121,7,10250,"PG","RomanticDrama","Modest"
"243",16543,"Everyone Says I Love You",1996,101,6.9,7314,"R","RomanticComedy","Modest"
"244",16600,"Evita",1996,134,6.2,8371,"PG","Drama","BigBudget"
"245",16758,"Eye for an Eye",1996,101,5.6,1843,"R","Drama","Modest"
"246",16777,"Eyes Wide Shut",1999,159,7,37868,"R","Drama","BigBudget"
"247",17035,"Family Man, The",2000,125,6.5,11220,"PG-13","RomanticDrama","BigBudget"
"248",17142,"Far and Away",1992,140,6.2,8556,"UR","RomanticDrama","Modest"
"249",17144,"Far from Heaven",2002,107,7.7,9167,"PG-13","RomanticDrama","Modest"
"250",17174,"Fargo",1996,98,8.2,65597,"R","Drama","Modest"
"251",17377,"Fear and Loathing in Las Vegas",1998,118,7.2,21484,"UR","Drama","Modest"
"252",17551,"Festen",1998,105,8.2,11983,"R","Drama","Modest"
"253",17589,"Few Good Men, A",1992,138,7.5,25237,"UR","Drama","BigBudget"
"254",17657,"Fight Club",1999,139,8.5,112092,"R","Drama","BigBudget"
"255",17836,"Finding Forrester",2000,136,7.3,13439,"PG-13","Drama","BigBudget"
"256",17843,"Finding Nemo",2003,100,8.3,41846,"UR","Drama","BigBudget"
"257",17941,"Firm, The",1993,154,6.6,14708,"R","Drama","BigBudget"
"258",17962,"First Knight",1995,134,5.6,8708,"PG-13","RomanticDrama","BigBudget"
"259",18011,"Fisher King, The",1991,137,7.4,11952,"UR","RomanticDrama","Modest"
"260",18158,"Flawless",1999,112,6.1,3287,"R","Drama","Modest"
"261",18498,"For Love of the Game",1999,137,6.1,5782,"PG-13","RomanticDrama","BigBudget"
"262",18634,"Forgotten, The",2004,94,5.8,8234,"PG-13","Drama","BigBudget"
"263",18642,"Forrest Gump",1994,142,8.2,89722,"PG-13","Drama","BigBudget"
"264",18714,"Four Feathers, The",2002,125,6.2,4400,"PG-13","Drama","BigBudget"
"265",18735,"Four Rooms",1995,98,6,10675,"R","Drama","Modest"
"266",18742,"Four Weddings and a Funeral",1994,117,7.2,17820,"R","RomanticDrama","Modest"
"267",18796,"Frailty",2001,100,7.4,10551,"R","Drama","Modest"
"268",18851,"Frankenstein",1994,123,6,6941,"R","Drama","BigBudget"
